"
Date","Open
","Close
","High
","Low
","Volume
","positive_score
","negative_score
","neutral_score
"
2024-01-09,438.799988,435.899994,438.899994,434.200012,464230,0.000000,0.000000,0.000000
2024-01-10,437.000000,437.000000,438.000000,434.799988,326912,0.931268,0.048263,0.020468
2024-01-11,438.500000,436.399994,441.000000,435.500000,424158,0.651888,0.033784,0.014328
2024-01-12,437.299988,440.700012,442.200012,437.000000,478615,0.456321,0.023649,0.010029
2024-01-15,440.399994,438.899994,440.799988,437.700012,397742,0.319425,0.016554,0.007021
2024-01-16,438.700012,438.899994,441.000000,435.500000,337451,0.223597,0.011588,0.004914
2024-01-17,435.000000,435.899994,437.000000,433.700012,506563,0.156518,0.008112,0.003440
2024-01-18,436.700012,441.500000,442.000000,434.600006,511700,0.109563,0.005678,0.002408
2024-01-19,432.700012,424.000000,438.000000,423.899994,1934048,0.076694,0.003975,0.001686
2024-01-22,428.799988,434.899994,436.200012,428.600006,872214,0.053686,0.002782,0.001180
2024-01-23,439.000000,433.100006,439.100006,432.500000,453200,0.037580,0.001948,0.000826
2024-01-24,437.399994,437.100006,439.100006,433.299988,348934,0.026306,0.001363,0.000578
2024-01-25,436.700012,439.600006,441.000000,435.500000,502191,0.018414,0.000954,0.000405
2024-01-26,439.600006,443.799988,444.100006,436.799988,300463,0.012890,0.000668,0.000283
2024-01-29,442.700012,448.100006,449.200012,442.299988,498146,0.009023,0.000468,0.000198
2024-01-30,448.899994,450.200012,451.399994,447.700012,373602,0.617221,0.346448,0.036331
2024-01-31,451.000000,441.799988,453.799988,441.500000,914357,0.432055,0.242513,0.025432
2024-02-01,441.799988,451.500000,456.700012,439.799988,1194112,0.865794,0.074106,0.060100
2024-02-02,456.299988,457.299988,459.500000,451.000000,557795,0.606056,0.051874,0.042070
2024-02-05,457.299988,453.000000,457.299988,451.399994,615920,0.424239,0.036312,0.029449
2024-02-06,456.100006,455.399994,459.100006,451.899994,437560,0.931122,0.054438,0.014441
2024-02-07,455.399994,454.700012,456.899994,452.299988,473033,0.651785,0.038106,0.010109
2024-02-08,455.700012,457.000000,458.799988,453.799988,383975,0.456250,0.026674,0.007076
2024-02-09,456.700012,456.000000,458.299988,455.000000,386311,0.864357,0.124156,0.011488
2024-02-12,458.299988,457.700012,460.000000,456.000000,374084,0.605050,0.086909,0.008041
2024-02-13,457.000000,454.200012,457.000000,450.299988,512060,0.423535,0.060836,0.005629
2024-02-14,454.500000,463.100006,464.799988,454.500000,383492,0.296474,0.042585,0.003940
2024-02-15,465.200012,468.700012,470.200012,465.200012,685141,0.207532,0.029810,0.002758
2024-02-16,468.100006,475.200012,475.600006,467.700012,596219,0.145272,0.020867,0.001931
2024-02-19,471.100006,473.200012,473.600006,467.799988,450818,0.101691,0.014607,0.001352
2024-02-20,471.399994,472.299988,473.200012,469.799988,285881,0.071183,0.010225,0.000946
2024-02-21,470.299988,473.899994,473.899994,469.600006,328753,0.049828,0.007157,0.000662
2024-02-22,474.000000,477.500000,478.700012,474.000000,472509,0.034880,0.005010,0.000464
2024-02-23,469.000000,473.299988,476.100006,460.399994,924700,0.024416,0.003507,0.000324
2024-02-26,473.200012,472.600006,473.799988,468.500000,400684,0.017091,0.002455,0.000227
2024-02-27,472.799988,471.600006,472.899994,468.700012,392265,0.011964,0.001718,0.000159
2024-02-28,471.600006,474.100006,474.600006,471.000000,679461,0.008375,0.001203,0.000111
2024-02-29,474.100006,478.600006,478.600006,473.500000,563607,0.005862,0.000842,0.000078
2024-03-01,478.600006,475.100006,481.200012,473.700012,377834,0.004104,0.000589,0.000055
2024-03-04,475.000000,477.299988,477.700012,474.399994,465195,0.002873,0.000413,0.000038
2024-03-05,477.299988,473.600006,479.799988,472.299988,645389,0.002011,0.000289,0.000027
