,title,scores
0,Orbea Orca OMX Custom SRAM Red AXS Build Review - feedthehabit.com,"{'label': 'neutral', 'score': 0.9471303224563599}"
1,"Early Data for OMX-0407 Fuel Expansion Cohorts in RCC, Angiosarcoma - OncLive","{'label': 'neutral', 'score': 0.9043235182762146}"
2,New Drug Could Sustain Oxygen-Starved Hearts - ucsf.edu,"{'label': 'neutral', 'score': 0.7902360558509827}"
3,Orbea Oiz OMX: First Ride Review - Bikers Edge,"{'label': 'neutral', 'score': 0.9009918570518494}"
4,"New Firm OMX Ventures, Backed By Billionaire Merieux Family, Comes Out Of Stealth With $150 Million Fund for Bio-Engineering - Forbes","{'label': 'neutral', 'score': 0.7056843638420105}"
5,OMX Ventures Adds New Team Members to Expand Investment and Company Creation Activities in $150M Oversubscribed Fund I - Business Wire,"{'label': 'positive', 'score': 0.5953915119171143}"
6,First Ride Review: Orbea Orca OMX - GRAN FONDO Cycling Magazine,"{'label': 'neutral', 'score': 0.9326032996177673}"
7,European Market Activity - Nasdaq,"{'label': 'neutral', 'score': 0.9371419548988342}"
8,Orbea Orca OMX review - Cyclist,"{'label': 'neutral', 'score': 0.9356501698493958}"
9,Nasdaq OMX Armenia Announces the Listing of the First UCO Securitized Bonds in Armenia - US Embassy in Armenia,"{'label': 'neutral', 'score': 0.9295192360877991}"
10,"First Ride: Orbea Orca OMX, a lightweight aero disc brake-only race-ready bike + video - road.cc","{'label': 'neutral', 'score': 0.8756631016731262}"
11,Custom Graphics of Any Kind with OMX - Racer X Online,"{'label': 'neutral', 'score': 0.9228236079216003}"
12,Orbea unveils 2021 Orca - Cyclingnews,"{'label': 'neutral', 'score': 0.9244688153266907}"
13,Orbea Orca OMX M10i LTD D review - BikeRadar,"{'label': 'neutral', 'score': 0.9373089671134949}"
14,iOmx Therapeutics Initiates Phase Ib with OMX-0407 - Yahoo Finance,"{'label': 'neutral', 'score': 0.8933758735656738}"
15,"New Orbea Orca OMX is more aerodynamic, disc brake only, & offers ""street nature"" style - BikeRumor.com","{'label': 'neutral', 'score': 0.909151554107666}"
16,"Mérieux Equity Partners and Korys Announce the Launch of OMX Europe Venture Fund, Dedicated to Venture Investment Within the Healthcare and Nutrition Sectors - Business Wire","{'label': 'neutral', 'score': 0.767198383808136}"
17,The Merger that Rewrote Nasdaq's Tomorrow: Celebrating 10 Years of Nasdaq + OMX - Nasdaq,"{'label': 'neutral', 'score': 0.7821202278137207}"
18,Orbea Orca OMX M10i LTD D review - BikeRadar,"{'label': 'neutral', 'score': 0.9373089671134949}"
19,Orbea adds OMX carbon to its Oiz race bike - BikeRadar,"{'label': 'neutral', 'score': 0.833412766456604}"
20,Barclays lifts Nasdaq OMX target to $87 on solid Q3 results - Investing.com,"{'label': 'positive', 'score': 0.9228377342224121}"
21,"2021 Orbea Oiz OMX updates lighter, stiffer race-ready XC bike with TR trail bike alter ego - BikeRumor.com","{'label': 'neutral', 'score': 0.7812941074371338}"
22,Bike of the Week | Orbea Orca OMX - BikeRadar,"{'label': 'neutral', 'score': 0.8838503956794739}"
23,First ride review: Orbea Orca 2024 - Outside Magazine,"{'label': 'neutral', 'score': 0.9188251495361328}"
24,Finland stocks lower at close of trade; OMX Helsinki 25 down 0.74% - Investing.com,"{'label': 'negative', 'score': 0.9578288793563843}"
25,Denmark stocks higher at close of trade; OMX Copenhagen 20 up 0.28% - Investing.com,"{'label': 'positive', 'score': 0.9204767346382141}"
26,Denmark stocks higher at close of trade; OMX Copenhagen 20 up 1.93% - Investing.com,"{'label': 'positive', 'score': 0.9136922955513}"
27,Sweden stocks lower at close of trade; OMX Stockholm 30 down 0.69% - Investing.com,"{'label': 'negative', 'score': 0.9570870995521545}"
28,Sweden stocks lower at close of trade; OMX Stockholm 30 down 0.45% - Investing.com,"{'label': 'negative', 'score': 0.9565163254737854}"
29,"Stockholm Stock Exchange (STO) .ST: What it is, How it Works - Investopedia","{'label': 'neutral', 'score': 0.9513189792633057}"
30,Finland stocks lower at close of trade; OMX Helsinki 25 down 0.25% - Investing.com,"{'label': 'negative', 'score': 0.9610376954078674}"
31,Joy Rides: An award-winning 5.2 kg Orbea Orca OMX homebuild - Escape Collective,"{'label': 'neutral', 'score': 0.5358430743217468}"
